id,cuisine
18009,italian
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,italian
19666,french
41217,italian
28753,mexican
22659,jamaican
21749,italian
44967,italian
42969,italian
44883,italian
20827,chinese
23196,italian
35387,italian
33780,italian
19001,italian
16526,italian
42455,british
47453,italian
42478,italian
11885,vietnamese
16585,italian
29639,southern_us
26245,italian
38516,italian
47520,italian
26212,cajun_creole
23696,italian
14926,italian
13292,mexican
27346,italian
1384,chinese
15959,italian
42297,russian
46235,italian
21181,italian
9809,italian
22982,japanese
23120,italian
26743,italian
12741,italian
7050,italian
22437,italian
14760,spanish
10649,italian
48065,vietnamese
39931,italian
32935,italian
40142,thai
19103,italian
38267,italian
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,italian
41038,italian
24878,mexican
42624,italian
45706,italian
8874,italian
23878,italian
47234,mexican
24075,italian
46323,italian
22562,italian
11358,italian
9201,indian
38620,mexican
47638,italian
21238,indian
11053,italian
46602,indian
13937,mexican
21876,italian
20798,greek
24381,italian
48178,italian
45832,italian
27560,korean
23247,british
28975,italian
43230,greek
9126,mexican
13021,italian
28194,mexican
25617,indian
36125,italian
16454,italian
1607,chinese
38526,italian
18755,italian
12035,mexican
16047,italian
15419,italian
16971,italian
31459,italian
27888,italian
13900,italian
12376,italian
1658,italian
29431,italian
22290,chinese
28464,italian
37953,italian
20814,chinese
35987,italian
2329,italian
43237,italian
30647,italian
16675,italian
37722,mexican
32438,italian
20287,mexican
43296,italian
6237,italian
48560,italian
20810,italian
34951,french
31850,japanese
47745,italian
37815,vietnamese
9872,italian
5592,italian
27411,thai
39320,french
40247,italian
19792,italian
40754,italian
14365,italian
14468,spanish
47563,japanese
19611,italian
7163,mexican
43069,italian
27505,italian
36500,italian
25932,italian
817,italian
8471,italian
48250,italian
9413,cajun_creole
12097,italian
8416,cajun_creole
5892,italian
676,southern_us
47015,italian
21891,italian
14630,italian
36195,italian
25981,mexican
39964,italian
28298,italian
31954,italian
26620,mexican
14932,southern_us
47426,mexican
1038,italian
8077,italian
37141,southern_us
45447,italian
9624,italian
45589,southern_us
7265,italian
31844,italian
13046,italian
9867,southern_us
29184,italian
34783,italian
2823,vietnamese
18932,italian
11112,italian
12859,thai
9365,italian
44516,italian
18193,italian
46545,italian
9900,italian
14815,thai
39690,italian
22193,southern_us
11739,french
27311,italian
36920,indian
7861,italian
29248,italian
43142,mexican
7574,mexican
8610,italian
989,italian
46926,italian
40816,italian
39726,japanese
42229,southern_us
10474,mexican
22140,mexican
31985,indian
46165,italian
20860,italian
42494,italian
15968,italian
20484,italian
26661,thai
47182,italian
22528,french
3861,italian
1203,french
45040,italian
33287,italian
10097,italian
42005,italian
12423,spanish
39613,italian
30276,italian
18686,italian
3031,italian
40093,italian
182,french
46591,mexican
4092,chinese
13722,italian
44575,italian
14989,italian
13270,italian
25529,italian
12140,italian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,southern_us
27935,italian
28198,mexican
37765,italian
33856,italian
30198,italian
42521,italian
21567,italian
36995,italian
24967,italian
45002,italian
48925,russian
36914,italian
2280,italian
14729,southern_us
4594,italian
2237,italian
45631,moroccan
2317,italian
23079,italian
29333,italian
48066,italian
15737,italian
30580,italian
1119,italian
46336,moroccan
5026,italian
10749,italian
31020,mexican
30805,italian
27653,italian
35060,italian
39174,italian
49509,italian
31784,italian
31408,french
36029,italian
11045,italian
6561,italian
26992,filipino
31179,italian
35099,italian
11018,italian
17930,mexican
21302,italian
46352,italian
25132,mexican
7010,mexican
25850,southern_us
19601,italian
7935,italian
34994,italian
25113,italian
45523,italian
34977,mexican
7124,southern_us
27514,italian
27178,mexican
47880,korean
29197,italian
16347,italian
20333,mexican
29112,italian
7510,italian
13897,korean
35699,italian
20520,mexican
38920,mexican
21775,italian
37475,mexican
40131,italian
1939,mexican
48268,italian
34815,italian
13797,italian
39063,italian
29064,chinese
26896,italian
29477,italian
3352,italian
4966,mexican
7316,italian
23879,italian
16525,italian
32843,italian
39574,italian
32737,italian
44788,italian
28772,italian
34189,italian
33719,southern_us
25846,indian
1423,italian
4328,vietnamese
579,southern_us
5219,italian
2314,italian
31143,moroccan
13409,korean
3281,italian
15804,italian
40835,southern_us
39262,korean
37013,italian
14807,jamaican
47956,italian
2580,mexican
13720,italian
23008,japanese
5951,italian
39312,italian
6176,italian
17617,italian
57,mexican
43422,indian
49403,southern_us
44751,italian
21865,mexican
26584,british
39355,italian
14038,southern_us
45396,italian
49715,southern_us
41515,thai
30445,italian
4090,italian
17207,thai
40376,italian
19398,mexican
22347,vietnamese
49671,italian
40854,italian
926,italian
47919,chinese
20571,italian
18866,southern_us
48742,cajun_creole
14577,italian
29481,italian
40996,italian
34470,italian
31147,mexican
35932,italian
27221,italian
48301,italian
29925,chinese
48640,chinese
22873,italian
10565,italian
15509,greek
37569,southern_us
13306,mexican
40474,italian
15182,italian
8609,italian
32168,korean
1125,mexican
25244,italian
46889,chinese
13841,italian
47135,italian
29036,italian
43533,japanese
41631,southern_us
22124,italian
18836,italian
35695,italian
5141,indian
41894,italian
4972,italian
34195,italian
14183,french
15188,italian
8734,italian
30946,italian
5588,italian
49554,italian
1270,southern_us
1259,vietnamese
45986,italian
22351,southern_us
300,mexican
9278,southern_us
10021,italian
17014,italian
40855,italian
18362,italian
16292,italian
29924,italian
47174,italian
4856,italian
15417,italian
19875,italian
42228,italian
36264,italian
14571,italian
23496,chinese
43879,italian
23431,indian
5499,italian
247,italian
48795,italian
47113,italian
489,italian
13036,italian
4838,italian
40630,indian
17576,italian
29972,italian
8123,indian
35918,mexican
42669,southern_us
24632,italian
35740,mexican
45670,italian
28041,italian
46688,italian
10309,italian
15367,italian
30562,italian
47151,moroccan
47300,chinese
31200,italian
5749,italian
41807,italian
13990,mexican
23572,italian
872,italian
38085,italian
5248,italian
26309,thai
26880,mexican
41559,mexican
8059,italian
26041,italian
30019,italian
7207,italian
30309,italian
2092,italian
8023,italian
4016,italian
24631,italian
35068,italian
8523,mexican
28463,italian
8629,italian
43829,italian
22129,italian
34505,chinese
38200,italian
36513,italian
32187,italian
7788,southern_us
31130,filipino
40483,italian
2224,italian
14143,filipino
22889,italian
17406,chinese
10451,italian
19844,italian
23416,italian
33874,cajun_creole
39951,italian
41361,mexican
44659,italian
8836,italian
21709,indian
22993,italian
39191,southern_us
17182,mexican
20507,korean
42397,italian
18897,italian
3797,chinese
11041,brazilian
807,italian
3514,italian
12936,korean
15050,italian
43377,italian
10471,italian
30721,mexican
14333,indian
6260,italian
7712,italian
19048,southern_us
21455,mexican
18575,italian
47647,italian
35947,mexican
14499,italian
43525,british
5723,italian
48497,italian
43822,italian
525,italian
30594,mexican
47948,italian
2099,italian
43863,italian
24711,vietnamese
15230,italian
21680,indian
36218,thai
41622,italian
34809,mexican
5110,italian
27214,italian
34803,italian
36822,italian
6912,vietnamese
20373,french
29157,italian
6327,italian
35502,italian
8305,mexican
35598,french
48538,indian
49358,indian
44506,mexican
39146,indian
29270,italian
20560,mexican
24169,southern_us
41537,italian
10431,french
31517,italian
34049,italian
26964,italian
49655,italian
9101,italian
30377,italian
7046,indian
47969,mexican
18971,italian
38891,mexican
29506,mexican
40305,italian
21255,italian
15578,mexican
24894,italian
32089,italian
46097,italian
40982,chinese
12543,italian
38366,italian
32925,italian
17506,italian
48389,italian
41804,italian
9961,thai
24939,indian
39599,italian
45838,mexican
48875,indian
25531,chinese
3009,italian
31965,southern_us
16901,italian
13370,italian
2954,italian
40353,italian
8207,mexican
10933,italian
38206,italian
14110,italian
19128,italian
32616,indian
27748,mexican
31858,southern_us
20510,mexican
17602,thai
35665,vietnamese
46589,indian
8178,mexican
34880,italian
42527,italian
29682,mexican
32166,thai
30343,italian
15385,cajun_creole
18372,chinese
29211,british
23269,italian
4561,italian
27365,brazilian
49032,italian
22064,italian
12060,italian
47834,southern_us
25815,italian
34036,italian
19326,italian
44078,italian
31090,indian
17485,southern_us
708,italian
5350,italian
29754,italian
18309,italian
46871,italian
27300,southern_us
41890,italian
49548,southern_us
11392,italian
1354,italian
48819,italian
19097,italian
42113,italian
24060,italian
25849,cajun_creole
4543,italian
25306,italian
41966,italian
48719,italian
48191,italian
8826,italian
42703,italian
16083,greek
26613,italian
28088,italian
39965,italian
36239,italian
4322,italian
9951,italian
3045,italian
28585,greek
39841,french
25913,italian
39715,vietnamese
23135,spanish
47022,indian
24160,italian
18619,italian
12574,italian
22681,indian
33692,italian
538,italian
22118,italian
21890,italian
36340,italian
27973,italian
12870,mexican
22564,italian
35063,southern_us
7000,italian
11318,italian
47001,italian
11395,japanese
23507,italian
47242,italian
48957,italian
17721,italian
25138,southern_us
47438,italian
47162,italian
42459,italian
6486,italian
24116,italian
31596,chinese
38887,italian
10665,italian
13712,spanish
2633,italian
35784,italian
45204,italian
